 State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,25, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,35, ?, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
 Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,50, United-States, <=50K
 Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, >50K
 Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,40, England, <=50K
 Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,40, United-States, <=50K
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 ?, 10th, Never-married, ?, Own-child, White, Female,32, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
 Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Other-relative, White, Male,40, United-States, <=50K
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,50, Canada, >50K
 Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,25, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K
 Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
 Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
 Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, >50K
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,56, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,40, Germany, <=50K
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K
 Private, Some-college, Never-married, Other-service, Own-child, Black, Male,35, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,28, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,40, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,60, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
 Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,36, United-States, <=50K
 Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Iran, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, <=50K
 Private, Some-college, Never-married, Sales, Own-child, White, Male,20, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Some-college, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Own-child, White, Male,30, Mexico, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K
 Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,40, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,30, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,24, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,24, United-States, <=50K
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 ?, Some-college, Divorced, ?, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,38, Mexico, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines, <=50K
 Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K
 ?, HS-grad, Divorced, ?, Not-in-family, White, Male,45, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,46, United-States, <=50K
 Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,2, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
 Private, Bachelors, Separated, Other-service, Other-relative, Black, Male,50, United-States, <=50K
 ?, 1st-4th, Divorced, ?, Not-in-family, White, Female,20, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K
 Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England, <=50K
 Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Some-college, Divorced, Other-service, Unmarried, White, Female,40, Mexico, <=50K
 Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,42, United-States, <=50K
 State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male,40, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, <=50K
 Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,20, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K
 State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,25, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States, <=50K
 Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38, United-States, >50K
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,45, United-States, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, >50K
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,42, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40, United-States, <=50K
 Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 ?, Bachelors, Divorced, ?, Not-in-family, White, Female,50, United-States, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, <=50K
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,1, United-States, >50K
 Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,45, United-States, <=50K
 Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,24, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male,40, Mexico, <=50K
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,55, United-States, >50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 ?, HS-grad, Never-married, ?, Own-child, White, Male,40, Italy, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K
 Private, 11th, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,36, United-States, >50K
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,35, United-States, >50K
 Private, 11th, Never-married, Sales, Own-child, White, Female,12, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, <=50K
 Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,60, United-States, >50K
 Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,50, Poland, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
 ?, 1st-4th, Divorced, ?, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,20, United-States, <=50K
 Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female,35, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,10, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K
 Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,20, Columbia, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,38, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,42, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female,40, United-States, <=50K
 Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, >50K
 State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,38, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, Iran, >50K
 Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,70, United-States, >50K
 Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,20, United-States, <=50K
 State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,50, United-States, <=50K
 ?, Some-college, Never-married, ?, Own-child, White, Male,20, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,35, ?, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States, >50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,34, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,60, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, ?, <=50K
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,40, United-States, <=50K
 Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,30, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,20, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Cambodia, >50K
 Private, HS-grad, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,30, United-States, <=50K
 Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,45, United-States, <=50K
 Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, <=50K
 Private, 11th, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,75, Thailand, >50K
 ?, Some-college, Never-married, ?, Own-child, White, Male,24, Canada, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,40, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, 9th, Never-married, Other-service, Own-child, White, Male,24, United-States, <=50K
 Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,98, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male,35, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,48, United-States, >50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,15, Germany, <=50K
 Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female,45, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,42, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
 Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,45, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Ecuador, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,56, United-States, <=50K
 Private, Some-college, Never-married, Sales, Own-child, White, Male,45, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female,40, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,16, United-States, <=50K
 Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,60, United-States, <=50K
 ?, Masters, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female,40, ?, <=50K
